ID-Global;ID;Article_Number;Article_Name;Summary_Consistency;Article_Olaf_Scholz;Article_SPD;Article_Robert_Habeck;Article_die_Gruenen;Article_Christian_Lindner;Article_FDP;Article_the_coalition_breakdown;Summary_Olaf_Scholz;Summary_SPD;Summary_Robert_Habeck;Summary_die_Gruenen;Summary_Christian_Lindner;Summary_FDP;Summary_the_coalition_breakdown;Comparison_Olaf_Scholz;Comparison_SPD;Comparison_Robert_Habeck;Comparison_die_Gruenen;Comparison_Christian_Lindner;Comparison_FDP;Comparison_the_coalition_breakdown
1;2;1;Nach dem Ampel-Aus;1;;;;;;;-1;;;;;;;-1;0;0;0;0;0;0;1
2;3;2;Ampel-Aus;1;0;0;0;0;-1;-1;-1;;;;;;;;0;0;0;0;0;0;0
3;4;3;Ampel-Aus trifft RKI;1;;-1;;;;;-1;;;;;;;-1;0;0;0;0;0;0;1
4;5;4;Erleichterung nach Ampel-Aus;1;-1;-1;;0;-1;-1;-1;-1;-1;;;-1;0;-1;1;1;0;0;1;-1;1
5;6;5;Ampel-Aus, Kanzlerkandidatur und Investitionen;1;-1;0;;;;;-1;0;;;;;;;-1;0;0;0;0;0;0
6;7;6;Dax trotzt Ampel-Aus;1;;;;;;;-1;;;;;;;0;0;0;0;0;0;0;-1
7;8;7;Stillstand nach Ampel-Aus?;1;-1;-1;;-1;;-1;-1;;0;;;;;-1;0;-1;0;0;0;0;1
8;9;8;Finanzminister sieht Chancen im Ampel-Aus;1;;-1;;-1;;-1;-1;;;;;;;;0;0;0;0;0;0;0
9;10;9;Kommentar : Mainz im Dialog: Ampel-Aus belebt politisches Interesse;0;;;;;;;0;;;;;;;-1;0;0;0;0;0;0;-1
10;11;10;Ampel-Aus;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0
11;12;14;„Ampel“-Aus hat keinen überrascht;1;1;1;;0;-1;-1;-1;1;;;;;;;1;0;0;0;0;0;0
