"source","evaluator","dataset","datapoint","smm_consistency","atc_coalition","atc_spd","atc_fdp","atc_green","atc_scholz","atc_lindner","atc_habeck","smm_coalition","smm_spd","smm_fdp","smm_green","smm_scholz","smm_lindner","smm_habeck","comment","datapoint_new"
"heval3","Sophia","newspaper_ampel-aus_300-400_processed.json","94","0","-1","0","-1","0","0","-1","NONE","-1","0","-1","0","NONE","NONE","NONE",,"newspaper_ampel-aus_300-400_processed.json_94"
"heval3","Sophia","newspaper_ampel-aus_0-200_processed.json","111","1","0","0","-1","NONE","NONE","NONE","NONE","0","0","-1","NONE","NONE","NONE","NONE",,"newspaper_ampel-aus_0-200_processed.json_111"
"heval3","Sophia","newspaper_ampel-aus_0-200_processed.json","200","1","-1","0","-1","NONE","0","-1","NONE","-1","0","-1","NONE","0","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_200"
"heval3","Sophia","newspaper_ampel-aus_201-300_processed.json","59","0","0","0","0","0","0","0","NONE","0","0","0","0","0","NONE","NONE",,"newspaper_ampel-aus_201-300_processed.json_59"
"heval3","Sophia","newspaper_D-Day_processed.json","5","0","-1","NONE","-1","NONE","NONE","0","NONE","-1","NONE","-1","NONE","NONE","NONE","NONE",,"newspaper_D-Day_processed.json_5"
"heval3","Sophia","newspaper_D-Day_processed.json","99","0","-1","0","-1","0","0","0","NONE","-1","NONE","-1","NONE","0","0","NONE",,"newspaper_D-Day_processed.json_99"
"heval3","Ayten","articles_newspapers_processed.json","93","1","0","NONE","NONE","NONE","NONE","NONE","NONE","0","NONE","NONE","NONE","NONE","NONE","NONE",,"articles_newspapers_processed.json_93"
"heval3","Jannis","newspaper_Ampel_Koalition am Ende_52_processed.json","2","1","-1","0","0","0","0","-1","0","-1","0","0","0","0","-1","0","German","newspaper_Ampel_Koalition am Ende_52_processed.json_2"
"heval3","Jannis","newspaper_ampel-aus_201-300_processed.json","36","1","-1","NONE","-1","NONE","1","-1","NONE","0","1","-1","1","NONE","-1","NONE","German","newspaper_ampel-aus_201-300_processed.json_36"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json","62","1","0","NONE","0","NONE","1","0","NONE","0","NONE","0","NONE","0","NONE","NONE","German","newspaper_ampel-aus_0-200_processed.json_62"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json","156","1","-1","0","0","0","0","-1","0","-1","NONE","0","NONE","0","0","NONE","German","newspaper_ampel-aus_0-200_processed.json_156"
"heval3","Jannis","newspaper_ampel-aus_300-400_processed.json","89","0","0","0","1","0","0","1","NONE","0","0","1","0","0","1","NONE","German","newspaper_ampel-aus_300-400_processed.json_89"
"heval3","Jannis","newspaper_D-Day_processed.json","116","1","0","0","-1","NONE","NONE","-1","NONE","0","0","-1","NONE","NONE","0","NONE","German","newspaper_D-Day_processed.json_116"
"heval3","Ayten","articles_newswires_processed.json","60","1","0","NONE","0","NONE","0","-1","NONE","0","NONE","0","NONE","0","-1","NONE",,"articles_newswires_processed.json_60"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json","18","1","0","0","0","0","0","0","NONE","0","0","0","0","0","0","NONE","German","newspaper_ampel-aus_0-200_processed.json_18"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json","122","1","0","1","0","0","NONE","NONE","NONE","0","0","0","0","NONE","NONE","NONE","German","newspaper_ampel-aus_0-200_processed.json_122"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json","137","1","-1","0","-1","0","0","-1","NONE","0","0","-1","0","0","0","NONE","German","newspaper_ampel-aus_0-200_processed.json_137"
"heval3","Jannis","newspaper_ampel-aus_300-400_processed.json","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","German","newspaper_ampel-aus_300-400_processed.json_78"
"heval3","Jannis","newspaper_D-Day_processed.json","39","1","0","0","-1","0","NONE","0","NONE","0","0","0","NONE","NONE","NONE","NONE","German","newspaper_D-Day_processed.json_39"
"heval3","Jannis","newspaper_D-Day_processed.json","86","1","0","0","1","0","NONE","1","NONE","0","0","0","NONE","NONE","1","NONE","German","newspaper_D-Day_processed.json_86"
"heval3","Jannis","newspaper_D-Day_processed.json","137","1","0","NONE","1","NONE","NONE","1","NONE","0","NONE","1","NONE","NONE","1","NONE","German","newspaper_D-Day_processed.json_137"
"heval3","Hannah","newspaper_ampel-aus_300-400_processed.json","12","0","0","0","0","0","NONE","0","NONE","0","0","0","0","NONE","0","NONE","Summary thinks the coalition break was in Rheinhessen lol","newspaper_ampel-aus_300-400_processed.json_12"
