"ID","Article.File.Name","Article_Number","Article_Name","Summary_Consistency","Article_Olaf_Scholz","Article_SPD","Article_Robert_Habeck","Article_die_Gruenen","Article_Christian_Lindner","Article_FDP","Article_the_coalition_breakdown","Summary_Olaf_Scholz","Summary_SPD","Summary_Robert_Habeck","Summary_die_Gruenen","Summary_Christian_Lindner","Summary_FDP","Summary_the_coalition_breakdown","diff_scholz","diff_spd","diff_habeck","diff_gruene","diff_lindner","diff_fdp","diff_coalition"
,"0402_summaries_english_Eval_1",,"",0,,,,,,,,,,,,,,,1,1,1,1,1,1,1
2,"articles_newspapers_processed.json",1,"German government in collapse: Chancellor Scholz fires finance minister, sparking crisis",1,1,1,0,1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,1,0,1,1,1
3,"articles_newspapers_processed.json",2,"German government collapses and shakes a European left in crisis",1,-1,-1,,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,1,0,0,0,0,1
4,"articles_newspapers_processed.json",3,"Senior figure with Scholz's ex-allies quits over 'D-Day' paper on German government collapse",1,0,0,,0,-1,-1,-1,0,0,,,,,,1,1,1,0,0,0,0
5,"articles_newspapers_processed.json",4,"German government collapses after Olaf Scholz sacks finance minister",1,-1,0,0,0,-1,-1,-1,0,0,,,,,,0,1,0,0,0,0,0
6,"articles_newspapers_processed.json",5,"German government collapses Scholz faces vote and elections",1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,0,1,1,1,1,1
7,"articles_newspapers_processed.json",6,"German government collapses after Scholz sacks finance minister",1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,,0,0,0,0,0,0,0
8,"articles_newspapers_processed.json",7,"German government collapses after Olaf Scholz sacked its finance minister and early elections expected in March",1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,1,1,1,1,1,1,1
9,"articles_newspapers_processed.json",8,"Nationalised German gas group Uniper starts repaying (EURO)13.5bn bailout; Energy",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
10,"articles_newspapers_processed.json",12,"Political crises in France and Germany weaken EU as it awaits Trump",1,-1,-1,,,,,-1,-1,-1,,,,,-1,1,1,1,1,1,1,1
11,"articles_newspapers_processed.json",13,"Focusing on what mattered to voters worked for Trump; Letters to the editor",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
12,"articles_newspapers_processed.json",14,"Keir Starmer left reeling following collapse of Brexit ally's government - hours after Donald Trump victory",1,-1,-1,,,,,-1,-1,,,,-1,,-1,1,0,1,1,0,1,1
13,"articles_newspapers_processed.json",15,"Vote topples government of EU’s 2nd-largest economy",1,,,,,,,0,,,,,,,,1,1,1,1,1,1,0
14,"articles_newspapers_processed.json",16,"German government’s coalition collapses after minister is sacked",1,0,,,,,,,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,0
15,"articles_newspapers_processed.json",17,"Austria to ask EU to take action if German gas storage fee not lifted",1,-1,0,-1,0,,0,-1,,,,,,,,0,0,0,0,1,0,0
16,"articles_newspapers_processed.json",18,"The collapse of the German government, by Editorial",1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,0,1,1,1,1,1
17,"articles_newspapers_processed.json",19,"Germany 'will tell migrants they must adopt local cultural values, 'not the other way around', and turn non-European refugees away at the border'",1,-1,-1,,,,,-1,-1,-1,,-1,,,-1,1,1,1,0,1,1,1
18,"articles_newspapers_processed.json",20,"Trump election adds to EU economic urgency",1,,,,,,,-1,,,,,,,-1,1,1,1,1,1,1,1
19,"articles_newspapers_processed.json",21,"Germany is trying to combat antisemitism. Experts warn a new resolution may do the opposite",1,-1,-1,,,,,-1,,,,,,,,0,0,1,1,1,1,0
20,"articles_newspapers_processed.json",22,"EU strains exposed at Budapest summit; Hungary Orbán urges rethink of European model amid fears of global schism",1,-1,,-1,-1,,,-1,-1,,,,,,-1,1,1,0,0,1,1,1
21,"articles_newspapers_processed.json",23,"Germany and France leave dangerous EU power vacuum",1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,1,1,1
22,"articles_newspapers_processed.json",26,"Bundesbank's Nagel warns that Trump's tariff plans could cost Germany 1% of its GDP",1,-1,-1,,,,,-1,-1,-1,,,,,-1,1,1,1,1,1,1,1
23,"articles_newspapers_processed.json",27,"Scholz and opposition agree to snap elections in February; Germany",1,0,1,,,,,,1,1,,0,-1,-1,-1,0,1,1,0,0,0,0
24,"articles_newspapers_processed.json",31,"Scholz gets nod from SPD to run again for chancellor",1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,1,1,1,1,1,1
25,"articles_newspapers_processed.json",32,"German crisis: the 'black swan' that erupts at the close of a year marked by politics",1,0,0,0,0,-1,-1,1,0,0,0,0,-1,-1,-1,1,1,1,1,1,1,0
26,"articles_newspapers_processed.json",33,"Street criminals claim yet another life in Karachi",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
27,"articles_newspapers_processed.json",34,"Why should David Lammy apologise? Trump has said far worse",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
28,"articles_newspapers_processed.json",35,"OPINION - A government of service? Starmer's new ministerial code provides some clues",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
29,"articles_newspapers_processed.json",36,"Lammy should not apologise but perhaps Trump ought to",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
30,"articles_newspapers_processed.json",37,"American Conscience",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
31,"articles_newspapers_processed.json",38,"Bernadette McAliskey: Winter's bleak prospects call for hope and unity",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
32,"articles_newspapers_processed.json",39,"KU VC inaugurates physical therapy unit, fitness gym at KU Medical Center",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
33,"articles_newspapers_processed.json",40,"Berlin heading for weeks of paralysis after coalition fails",1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,1,1,1
34,"articles_newspapers_processed.json",42,"The president of Azerbaijan called fossil fuels a 'gift from God'. Ed Miliband nearly swallowed his teeth",1,,,,,,,-1,,,,,,,-1,1,1,1,1,1,1,1
35,"articles_newspapers_processed.json",44,"QUENTIN LETTS: The president of Azerbaijan called fossil fuels a 'gift from God'. Ed Miliband nearly swallowed his teeth",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
36,"articles_newspapers_processed.json",45,"Finance Minister Aurangzeb urges reforms to avoid IMF loan in future",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
37,"articles_newspapers_processed.json",46,"OICCI leads pre-COP29 dialogue on private sector climate action",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
38,"articles_newspapers_processed.json",47,"Time for Europe and Ireland to get their houses in order; We have the finance and skills to unlock our economic potential, but greater effectiveness is needed to deliver it",1,,,,,-1,-1,-1,,,,,,,-1,1,1,1,1,0,0,1
39,"articles_newspapers_processed.json",48,"With $50 million export plans by 2030, Nestlé Pakistan backs govt's economic ambitions",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
40,"articles_newspapers_processed.json",49,"US stocks hit fresh records as European bourses retreat",1,,,,,,,-1,,,,,,,-1,1,1,1,1,1,1,1
41,"articles_newspapers_processed.json",50,"Olaf Scholz rejects call for confidence vote after coalition collapse",1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,1,1,1,1
42,"articles_newspapers_processed.json",51,"Germany collapses into chaos as centre-left chancellor's coalition falls apart after he sacks finance minister",1,-1,-1,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,1,1,1,1,1
43,"articles_newspapers_processed.json",52,"No-confidence vote topples French government, plunges country into chaos",1,,,,,-1,-1,0,,,,,,,,1,1,1,1,0,0,0
44,"articles_newspapers_processed.json",54,"Closure of NJ, reduced generation from Guddu, plant, system constraints result in Rs43b loss",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
45,"articles_newspapers_processed.json",55,"Eighth edition of Pakistan Industrial Expo from 9th",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
46,"articles_newspapers_processed.json",56,"Chief of Airbus unit says Trump win is 'wake-up call' for Europe amid any US-China conflict; Aerospace & defence",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
47,"articles_newspapers_processed.json",60,"Tackling Climate Change",1,-1,0,,,-1,-1,-1,,,,,,,,0,0,1,1,0,0,0
48,"articles_newspapers_processed.json",61,"German opposition leader plans climate action reverse and immigration controls as Scholz paves way for election – as it happened",1,0,0,0,0,-1,-1,-1,-1,-1,,,-1,-1,-1,0,0,0,0,1,1,1
49,"articles_newspapers_processed.json",62,"Asif claims third IBSF World Snooker title, making history for Pakistan",1,,,,,,,,,,,,,,,1,1,1,1,1,1,1
50,"articles_newspapers_processed.json",63,"Discos seek Nepra's nod for transfer of additional Rs8.71b to consumers",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
51,"articles_newspapers_processed.json",64,"FCA for Sept: Nepra directs Discos to reimburse Rs1.27 per unit to consumers",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
52,"articles_newspapers_processed.json",65,"Sindh govt okays Rs232 million for MDCAT retake",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
53,"articles_newspapers_processed.json",66,"Punjab shuts schools in smog-hit cities",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
54,"articles_newspapers_processed.json",67,"Orban,",1,,,,,-1,-1,-1,,,,,,,,1,1,1,1,0,0,0
55,"articles_newspapers_processed.json",68,"COMMENT: Political, economic and security headaches Trump Europe's mounting problems",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,1,1,0,0,1,1,1
56,"articles_newspapers_processed.json",69,"Share your thoughts about the collapse of the German coalition government and the snap election",1,-1,-1,,,-1,-1,-1,-1,-1,,,-1,-1,-1,1,1,1,1,1,1,1
57,"articles_newspapers_processed.json",70,"Olaf Scholz makes statement on current German Bundestag situation after government collapse",1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,,0,0,0,0,0,0,0
58,"articles_newspapers_processed.json",71,"CM Murad, ADB Country Head discuss $1.3 billion development projects",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
59,"articles_newspapers_processed.json",72,"Trump and the lure of the strongman",1,,,,,,,-1,,,,,,,,1,1,1,1,1,1,0
